batch_size,kernel_time,transformer_time,speedup
1,3.2306294441223145,42.75941252708435,0.07555364429003773
8,3.0477259159088135,17.84415825208028,0.17079684414665558
16,3.046907901763916,16.582076629002888,0.18374706437158303
32,3.0665339628855386,15.811477422714233,0.1939435437247793
64,3.0128801663716636,15.396161794662476,0.1956903419536787
