N_formulas,samples,batch_size,kernel_time_mean,kernel_time_std,transformer_time_mean,speedup
1000,3000,1024,0.6182653109232584,0.000526980943139763,2.8954011599222818,0.21353355779544342
1000,4000,1,0.7268636226654053,0.00048455035962846496,8.136815547943115,0.0893302322490458
1000,4000,8,0.7268636226654053,0.00048455035962846496,3.300064484278361,0.22025739985633996
1000,4000,16,0.7268636226654053,0.00048455035962846496,3.055006424585978,0.2379253990485181
1000,4000,32,0.7268636226654053,0.00048455035962846496,2.9130961894989014,0.24951583311446962
1000,4000,64,0.7268636226654053,0.00048455035962846496,2.846048593521118,0.2553939607075131
1000,4000,128,0.7268636226654053,0.00048455035962846496,2.808927377065023,0.25876910474805037
1000,4000,256,0.7268636226654053,0.00048455035962846496,2.830005486806234,0.2568417715280467
1000,4000,512,0.7268636226654053,0.00048455035962846496,2.852163394292196,0.2548464173265875
1000,4000,1024,0.7268636226654053,0.00048455035962846496,2.8954011599222818,0.2510407306339947
2000,500,1,0.8133984406789144,0.0012074058318270714,16.429314136505127,0.0495089712157602
2000,500,8,0.8133984406789144,0.0012074058318270714,6.7624194622039795,0.12028216309637424
2000,500,16,0.8133984406789144,0.0012074058318270714,6.287455002466838,0.12936847108405283
2000,500,32,0.8133984406789144,0.0012074058318270714,6.027283350626628,0.13495274626409412
2000,500,64,0.8133984406789144,0.0012074058318270714,5.8802170753479,0.13832796140962025
2000,500,128,0.8133984406789144,0.0012074058318270714,5.837415377298991,0.13934222393049558
2000,500,256,0.8133984406789144,0.0012074058318270714,5.8523110548655195,0.13898756116229805
2000,500,512,0.8133984406789144,0.0012074058318270714,5.8716245492299395,0.1385303903304906
2000,500,1024,0.8133984406789144,0.0012074058318270714,5.912993272145589,0.1375611984053154
2000,1000,1,0.9901088873545328,0.0020162751267496365,16.429314136505127,0.060264773022664385
2000,1000,8,0.9901088873545328,0.0020162751267496365,6.7624194622039795,0.14641340911908482
2000,1000,16,0.9901088873545328,0.0020162751267496365,6.287455002466838,0.15747371344464028
2000,1000,32,0.9901088873545328,0.0020162751267496365,6.027283350626628,0.16427116990469612
2000,1000,64,0.9901088873545328,0.0020162751267496365,5.8802170753479,0.16837964902783006
2000,1000,128,0.9901088873545328,0.0020162751267496365,5.837415377298991,0.16961425962677723
2000,1000,256,0.9901088873545328,0.0020162751267496365,5.8523110548655195,0.1691825465311472
2000,1000,512,0.9901088873545328,0.0020162751267496365,5.8716245492299395,0.16862605554103166
2000,1000,1024,0.9901088873545328,0.0020162751267496365,5.912993272145589,0.16744630710450004
2000,2000,1,1.0966181755065918,0.00043007980254310894,16.429314136505127,0.0667476540040074
2000,2000,8,1.0966181755065918,0.00043007980254310894,6.7624194622039795,0.1621635838527512
2000,2000,16,1.0966181755065918,0.00043007980254310894,6.287455002466838,0.17441368170051977
2000,2000,32,1.0966181755065918,0.00043007980254310894,6.027283350626628,0.18194236303700267
2000,2000,64,1.0966181755065918,0.00043007980254310894,5.8802170753479,0.18649280484967656
2000,2000,128,1.0966181755065918,0.00043007980254310894,5.837415377298991,0.18786022659466867
2000,2000,256,1.0966181755065918,0.00043007980254310894,5.8523110548655195,0.1873820726932962
2000,2000,512,1.0966181755065918,0.00043007980254310894,5.8716245492299395,0.18676571812658094
2000,2000,1024,1.0966181755065918,0.00043007980254310894,5.912993272145589,0.18545906024829162
2000,3000,1,1.1981646219889324,0.00020789173501234957,16.429314136505127,0.07292846262685243
2000,3000,8,1.1981646219889324,0.00020789173501234957,6.7624194622039795,0.1771798730743673
2000,3000,16,1.1981646219889324,0.00020789173501234957,6.287455002466838,0.1905643255528415
2000,3000,32,1.1981646219889324,0.00020789173501234957,6.027283350626628,0.19879016005848885
2000,3000,64,1.1981646219889324,0.00020789173501234957,5.8802170753479,0.203761971137442
2000,3000,128,1.1981646219889324,0.00020789173501234957,5.837415377298991,0.2052560156415202
2000,3000,256,1.1981646219889324,0.00020789173501234957,5.8523110548655195,0.20473358486179527
2000,3000,512,1.1981646219889324,0.00020789173501234957,5.8716245492299395,0.2040601560850942
2000,3000,1024,1.1981646219889324,0.00020789173501234957,5.912993272145589,0.20263250215980144
2000,4000,1,1.4050205548604329,0.0007957980351395615,16.429314136505127,0.08551912412086311
2000,4000,8,1.4050205548604329,0.0007957980351395615,6.7624194622039795,0.20776891506261494
2000,4000,16,1.4050205548604329,0.0007957980351395615,6.287455002466838,0.22346411295336238
2000,4000,32,1.4050205548604329,0.0007957980351395615,6.027283350626628,0.23311008843052974
2000,4000,64,1.4050205548604329,0.0007957980351395615,5.8802170753479,0.23894025286087
2000,4000,128,1.4050205548604329,0.0007957980351395615,5.837415377298991,0.24069223518415178
2000,4000,256,1.4050205548604329,0.0007957980351395615,5.8523110548655195,0.24007960986494742
2000,4000,512,1.4050205548604329,0.0007957980351395615,5.8716245492299395,0.23928991765059307
2000,4000,1024,1.4050205548604329,0.0007957980351395615,5.912993272145589,0.23761578784117357
3000,500,1,1.2823154131571453,0.00366948958398437,24.876957019170124,0.05154631300640975
3000,500,8,1.2823154131571453,0.00366948958398437,10.53636089960734,0.12170382405987379
3000,500,16,1.2823154131571453,0.00366948958398437,9.85232981046041,0.13015352082465675
3000,500,32,1.2823154131571453,0.00366948958398437,9.412324984868368,0.13623790245435077
3000,500,64,1.2823154131571453,0.00366948958398437,9.180037101109823,0.13968521031381445
3000,500,128,1.2823154131571453,0.00366948958398437,9.117148637771606,0.14064873395225966
3000,500,256,1.2823154131571453,0.00366948958398437,9.13076368967692,0.14043901000383005
3000,500,512,1.2823154131571453,0.00366948958398437,9.200226306915283,0.13937868160844066
3000,500,1024,1.2823154131571453,0.00366948958398437,9.275092442830404,0.13825365311031138
3000,1000,1,1.5644086996714275,0.0007343777658400963,24.876957019170124,0.06288585450647753
3000,1000,8,1.5644086996714275,0.0007343777658400963,10.53636089960734,0.14847713689550332
3000,1000,16,1.5644086996714275,0.0007343777658400963,9.85232981046041,0.15878566083023982
3000,1000,32,1.5644086996714275,0.0007343777658400963,9.412324984868368,0.1662085300057567
3000,1000,64,1.5644086996714275,0.0007343777658400963,9.180037101109823,0.1704142023001517
3000,1000,128,1.5644086996714275,0.0007343777658400963,9.117148637771606,0.171589689038326
3000,1000,256,1.5644086996714275,0.0007343777658400963,9.13076368967692,0.17133382845512915
3000,1000,512,1.5644086996714275,0.0007343777658400963,9.200226306915283,0.17004024112923735
3000,1000,1024,1.5644086996714275,0.0007343777658400963,9.275092442830404,0.1686677204905604
3000,2000,1,1.741029421488444,0.0005834390971074411,24.876957019170124,0.06998562646334963
3000,2000,8,1.741029421488444,0.0005834390971074411,10.53636089960734,0.16524010880771248
3000,2000,16,1.741029421488444,0.0005834390971074411,9.85232981046041,0.17671245837100982
3000,2000,32,1.741029421488444,0.0005834390971074411,9.412324984868368,0.1849733646349221
3000,2000,64,1.741029421488444,0.0005834390971074411,9.180037101109823,0.18965385458823056
3000,2000,128,1.741029421488444,0.0005834390971074411,9.117148637771606,0.19096205301244082
3000,2000,256,1.741029421488444,0.0005834390971074411,9.13076368967692,0.1906773059362845
3000,2000,512,1.741029421488444,0.0005834390971074411,9.200226306915283,0.18923767344503384
3000,2000,1024,1.741029421488444,0.0005834390971074411,9.275092442830404,0.18771019612146833
3000,3000,1,1.9090553124745686,0.0008234764963472044,24.876957019170124,0.07673990476421433
3000,3000,8,1.9090553124745686,0.0008234764963472044,10.53636089960734,0.18118735023073418
3000,3000,16,1.9090553124745686,0.0008234764963472044,9.85232981046041,0.1937668905935008
3000,3000,32,1.9090553124745686,0.0008234764963472044,9.412324984868368,0.2028250528475847
3000,3000,64,1.9090553124745686,0.0008234764963472044,9.180037101109823,0.20795725457839084
3000,3000,128,1.9090553124745686,0.0008234764963472044,9.117148637771606,0.20939170658746392
3000,3000,256,1.9090553124745686,0.0008234764963472044,9.13076368967692,0.20907947871139332
3000,3000,512,1.9090553124745686,0.0008234764963472044,9.200226306915283,0.2075009079982784
3000,3000,1024,1.9090553124745686,0.0008234764963472044,9.275092442830404,0.20582601459139718
3000,4000,1,2.2413318157196045,0.00011289381969457877,24.876957019170124,0.09009670330629424
3000,4000,8,2.2413318157196045,0.00011289381969457877,10.53636089960734,0.2127235235272866
3000,4000,16,2.2413318157196045,0.00011289381969457877,9.85232981046041,0.2274925686450264
