B,N,batch_size,kernel_feature,kernel_full,kernel_query,tf_feature,tf_forward,tf_full,tf_query,speedup_query
500,500,32,0.2086464154223601,0.20993927990396818,0.0002222930391629537,1.023360552887122,1.0260613622764747,1.0276974042256672,0.00655924528837204,0.033890032982456936
500,500,128,0.2086464154223601,0.20993927990396818,0.0002222930391629537,0.9272392267982165,0.9279379161695639,0.9293985441327095,0.006447924921909968,0.034475128332776446
500,500,512,0.2086464154223601,0.20993927990396818,0.0002222930391629537,0.9140362193187078,0.9150014979143938,0.9185017856458823,0.006459709256887436,0.034412235957205294
500,1000,32,0.265103151400884,0.2648082872231801,0.000208977609872818,1.0345350801944733,1.035655086239179,1.0356835337976615,0.006388274331887563,0.03271268561991619
500,1000,128,0.265103151400884,0.2648082872231801,0.000208977609872818,0.9345397303501765,0.9347982108592987,0.935473391165336,0.006433054804801941,0.03248497272506167
500,1000,512,0.265103151400884,0.2648082872231801,0.000208977609872818,0.918712725241979,0.9193401336669922,0.9191530967752138,0.006445802748203278,0.03242072679482304
500,2000,32,0.29922474796573323,0.2996152142683665,0.000212106853723526,1.037198930978775,1.0377943230171998,1.0382962847749393,0.006446123123168945,0.032904561341864855
500,2000,128,0.29922474796573323,0.2996152142683665,0.000212106853723526,0.9367113572855791,0.9365486241877079,0.9367496035993099,0.006455466151237488,0.03285693840759524
500,2000,512,0.29922474796573323,0.2996152142683665,0.000212106853723526,0.9207893535494804,0.9202588324745496,0.9205835834145546,0.006491310894489288,0.03267550378823964
1000,500,32,0.3921258859336376,0.39237066979209584,0.0002860439320405324,2.0227394538621106,2.0242525413632393,2.0271391036609807,0.006505439678827922,0.043969961472622346
1000,500,128,0.3921258859336376,0.39237066979209584,0.0002860439320405324,1.8356036233405273,1.8357905621329944,1.8358858861029148,0.006498003999392192,0.04402027639060984
1000,500,512,0.3921258859336376,0.39237066979209584,0.0002860439320405324,1.7962645205358665,1.7969604084889095,1.7965753289560478,0.006526934603850047,0.04382515673924533
1000,1000,32,0.49455293888847035,0.4910643932720025,0.00029515475034713745,2.0206235013902187,2.0220911813278994,2.0217204677561917,0.006504991402228673,0.04537358039335987
1000,1000,128,0.49455293888847035,0.4910643932720025,0.00029515475034713745,1.8313935349384944,1.831031600634257,1.832119959096114,0.006528414785861969,0.045210783938901815
1000,1000,512,0.49455293888847035,0.4910643932720025,0.00029515475034713745,1.791938987871011,1.7922613993287086,1.7930983155965805,0.00651432325442632,0.04530858215342433
1000,2000,32,0.5516464610894521,0.5512335561215878,0.00028386836250623065,2.0190722631911435,2.0198913601537547,2.019975664714972,0.006518372644980748,0.043548961982836906
1000,2000,128,0.5516464610894521,0.5512335561215878,0.00028386836250623065,1.8310581830640633,1.8315802688399951,1.8322736881673336,0.0065221525728702545,0.04352372308599743
1000,2000,512,0.5516464610894521,0.5512335561215878,0.00028386836250623065,1.7937390580773354,1.7937887236475945,1.794161698470513,0.006500570724407832,0.04366822153636204
2000,500,32,0.7811558954417706,0.7817525379359722,0.0002168069283167521,4.136514607816935,4.145231988281012,4.148069620132446,0.006536030520995458,0.033171039764932395
2000,500,128,0.7811558954417706,0.7817525379359722,0.0002168069283167521,3.767107361306747,3.768482485165199,3.770279278357824,0.006487838923931122,0.03341743388804482
2000,500,512,0.7811558954417706,0.7817525379359722,0.0002168069283167521,3.6775915970404944,3.679642459998528,3.6807417050004005,0.006548888981342316,0.03310590986263956
2000,1000,32,0.960385280350844,0.9604622150460879,0.0002316447595755259,4.143501427024603,4.151429644475381,4.155804256598155,0.00653437152504921,0.03545019726648944
2000,1000,128,0.960385280350844,0.9604622150460879,0.0002316447595755259,3.7738762634495893,3.774305809289217,3.774753170708815,0.006492805977662404,0.035677141804709316
2000,1000,512,0.960385280350844,0.9604622150460879,0.0002316447595755259,3.6805737602214017,3.6805554702878,3.679748489211003,0.006568625569343567,0.03526533170906181
2000,2000,32,1.0783758473893006,1.0803093040982883,0.0002598402400811513,4.140864801903565,4.150200589249532,4.153358029822509,0.006548679123322169,0.03967826720288799
2000,2000,128,1.0783758473893006,1.0803093040982883,0.0002598402400811513,3.7713898854951062,3.771507197370132,3.771397475153208,0.006611914684375127,0.039298789002100994
2000,2000,512,1.0783758473893006,1.0803093040982883,0.0002598402400811513,3.676647918919722,3.678279846906662,3.6789818654457727,0.006612041344245275,0.039298036196839685
4000,500,32,1.6615205345054467,1.6651062158246834,0.0003167763352394104,8.639321181923151,8.67906010771791,8.675413597375154,0.006546719620625178,0.048387032528691046
4000,500,128,1.6615205345054467,1.6651062158246834,0.0003167763352394104,7.871271746853988,7.874950930476189,7.8757150049010916,0.006534258524576823,0.048479308562393575
4000,500,512,1.6615205345054467,1.6651062158246834,0.0003167763352394104,7.701751218487819,7.70201151445508,7.699099602798621,0.006602185467878978,0.04798052656663372
4000,1000,32,2.048814761141936,2.054978471249342,0.0003686348597208659,8.602507957567772,8.641228203972181,8.6597630319496,0.006582108636697133,0.05600558727724751
4000,1000,128,2.048814761141936,2.054978471249342,0.0003686348597208659,7.8756032809615135,7.879079766571522,7.882257004578908,0.006527860959370931,0.05647100359753834
4000,1000,512,2.048814761141936,2.054978471249342,0.0003686348597208659,7.710773787150781,7.711017016321421,7.720621706297,0.006543298562367757,0.05633777156998194
4000,2000,32,2.3159244197110334,2.306844590852658,0.00043290356794993084,8.64888950313131,8.66901750365893,8.674152200420698,0.006637534747521083,0.06522053509574577
4000,2000,128,2.3159244197110334,2.306844590852658,0.00043290356794993084,7.872295577079058,7.874884822716315,7.875703072796266,0.0065800100564956665,0.06579071524709545
4000,2000,512,2.3159244197110334,2.306844590852658,0.00043290356794993084,7.7081934325397015,7.707151072720687,7.709823474287987,0.006558835506439209,0.06600311404744379
